,Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution 
280,The APP ART,,THEAPP-1604,Feature,Done,24.03.2022 19:30:36,BOND|Lebowski|Skywalker|,,30.03.2022 14:10:03,16.09.2022 16:16:17,0,18263,51776,122316,60887,0,0,70469,Done 
281,The APP ART,,THEAPP-1603,Feature,Funnel,24.03.2022 14:43:56,Android|,,,,324001,0,0,0,0,0,0, ,
282,The APP ART,,THEAPP-1602,Feature,Backlog,21.03.2022 13:04:53,App ART Funnel|CR|VICI|,,30.03.2022 19:28:25,24.06.2022 13:51:10,4375,43142,269436,11428,0,0,0,37,Done 
283,The APP ART,,THEAPP-1601,Feature,Funnel,21.03.2022 11:35:43,Android|iOS|,,,,328509,0,0,0,0,0,0, ,
284,The APP ART,,THEAPP-1600,Feature,Funnel,18.03.2022 00:03:40,App ART Funnel|,,,,333521,0,0,0,0,0,0, ,
285,The APP ART,,THEAPP-1599,Feature,Funnel,17.03.2022 17:31:31,Android|iOS|,,,,333913,0,0,0,0,0,0, ,
286,The APP ART,,THEAPP-1597,Feature,In Analysis,17.03.2022 12:11:57,BOND|Release 2.0|Release 3.2|,,31.03.2022 08:47:42,,0,334232,0,0,0,0,0,0, 
287,The APP ART,,THEAPP-1596,Feature,In Analysis,17.03.2022 11:58:46,Android|Griffin|Mario|,,11.04.2022 09:49:06,,0,334246,0,0,0,0,0,0, 
288,The APP ART,,THEAPP-1595,Feature,Funnel,17.03.2022 10:42:30,Android|,,,,334322,0,0,0,0,0,0, ,
289,The APP ART,,THEAPP-1594,Feature,Done,17.03.2022 09:44:55,Android|BOND|Greatwall|Mario|Pikachu|SPECTRE|Stark|Stromberg|VICI|,,08.06.2022 13:30:11,27.09.2022 16:22:58,0,199214,9926,70617,0,0,0,54622,Done 
290,The APP ART,,THEAPP-1593,Feature,In Analysis,16.03.2022 16:58:41,App ART Funnel|Backend|Griffin|Release 3.2|Stark|,,30.06.2022 10:25:23,,0,335385,0,0,0,0,0,0, 
291,The APP ART,,THEAPP-1592,Feature,Funnel,16.03.2022 16:46:15,Android|Backend|iOS|,,,,335399,0,0,0,0,0,0, ,
292,The APP ART,,THEAPP-1591,Feature,In Analysis,16.03.2022 15:16:44,SPECTRE|Stromberg|,,11.04.2022 09:46:28,,0,335487,0,0,0,0,0,0, 
293,The APP ART,,THEAPP-1590,Feature,Done,15.03.2022 18:10:08,Lebowski|,,17.08.2022 14:22:53,17.08.2022 14:22:53,0,222972,0,0,0,0,0,113782,Done 
294,The APP ART,,THEAPP-1589,Feature,In Implementation,08.03.2022 13:48:54,BOND|P&S|Release 3.2|,,07.04.2022 10:36:31,,0,93543,6058,62312,185179,0,0,0, 
295,The APP ART,,THEAPP-1588,Feature,Funnel,08.03.2022 11:08:17,App ART Funnel|P&S|Release 4.0|,,,,347257,0,0,0,0,0,0, ,
296,The APP ART,,THEAPP-1587,Feature,Funnel,07.03.2022 10:27:22,Android|BOND|Design|iOS|,,,,348737,0,0,0,0,0,0, ,
