,Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution ,CycleDays
457,The APP ART,,THEAPP-1337,Feature,Completed,01.10.2021 17:25:54,Callahan|P&S|Stromberg|,,04.10.2021 18:22:19,04.02.2022 13:12:52,0,13958,102360,64867,0,393212,0,0, ,125.82
461,The APP ART,,THEAPP-1330,Feature,Done,28.09.2021 17:46:01,VICI|,,29.09.2021 15:36:14,18.02.2022 11:51:21,0,41300,31953,37369,94941,0,0,373133,Done ,142.75
464,The APP ART,,THEAPP-1326,Feature,Done,28.09.2021 11:17:26,BOND|P&S|Release 2.0|Release 3.1|,,14.04.2022 09:59:49,18.10.2022 11:40:29,0,344128,40526,73696,96070,0,0,24664,Done ,385.01
465,The APP ART,,THEAPP-1325,Feature,Done,28.09.2021 08:51:24,Greatwall|Lebowski|,,28.10.2021 16:13:26,29.03.2022 12:19:57,0,43642,218646,0,0,0,0,316945,Done ,182.14
467,The APP ART,,THEAPP-1323,Feature,Done,27.09.2021 05:05:11,App ART Funnel|Greatwall|VICI|,,30.09.2021 08:02:38,14.12.2021 13:28:23,0,4659,90722,17440,0,0,0,468076,Done ,78.35
469,The APP ART,,THEAPP-1321,Feature,Done,22.09.2021 09:49:32,App ART Funnel|CR|VICI|,,29.09.2021 15:35:54,14.11.2021 10:08:17,0,47637,11608,17093,0,0,0,511477,Done ,53.01
471,The APP ART,,THEAPP-1319,Feature,Done,21.09.2021 17:13:14,App ART Funnel|VICI|,,29.09.2021 15:36:31,24.01.2022 16:48:23,0,51415,111078,17480,0,0,0,408836,Done ,124.98
472,The APP ART,,THEAPP-1318,Feature,Done,21.09.2021 13:47:06,App ART Funnel|SPECTRE|VICI|,,19.01.2022 09:51:09,03.05.2022 11:48:09,0,182646,53580,86214,0,0,0,266577,Done ,223.92
474,The APP ART,,THEAPP-1316,Feature,Done,16.09.2021 11:17:01,,,31.01.2022 13:57:53,31.01.2022 13:57:53,0,197440,0,0,0,0,0,398927,Won't Do ,137.11
476,The APP ART,,THEAPP-1314,Feature,Done,16.09.2021 08:08:10,App ART Funnel|Backend|Griffin|,,31.01.2022 13:56:06,31.01.2022 13:56:06,0,197627,0,0,0,0,0,398929,Done ,137.24
483,The APP ART,,THEAPP-1306,Feature,Done,08.09.2021 13:33:50,,,31.01.2022 13:52:58,31.01.2022 13:52:58,0,208819,0,0,0,0,0,398932,Not Required ,145.01
487,The APP ART,,THEAPP-1293,Feature,Done,02.09.2021 11:23:23,Stromberg|,,22.09.2021 16:27:25,22.09.2021 16:27:25,0,29104,0,0,0,0,0,587417,Won't Do ,20.21
490,The APP ART,,THEAPP-1288,Feature,Done,30.08.2021 18:36:52,Lebowski|Mario|,,08.09.2021 11:45:18,10.05.2022 09:46:01,0,15377,136965,211444,0,0,0,256619,Done ,252.63
492,The APP ART,,THEAPP-1286,Feature,Done,26.08.2021 10:41:11,Greatwall|P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 4.0|,,12.04.2022 14:34:42,10.08.2022 15:48:46,0,329993,130822,42051,0,0,0,123776,Done ,349.21
493,The APP ART,,THEAPP-1284,Feature,Completed,25.08.2021 09:59:02,App ART Funnel|Greatwall|,,28.10.2021 17:11:29,19.01.2022 11:07:42,0,92592,59822,59332,0,416377,0,0, ,147.05
494,The APP ART,,THEAPP-1283,Feature,Done,25.08.2021 09:58:24,App ART Funnel|Greatwall|,,28.10.2021 17:10:47,08.12.2021 10:47:56,0,92592,58657,0,0,0,0,476877,Done ,105.03
495,The APP ART,,THEAPP-1282,Feature,Done,25.08.2021 09:56:57,App ART Funnel|Greatwall|,,28.10.2021 17:10:23,20.06.2022 07:54:16,0,92593,58664,279179,0,0,0,197691,Done ,298.91
496,The APP ART,,THEAPP-1281,Feature,Done,25.08.2021 09:53:59,App ART Funnel|Greatwall|,,28.10.2021 16:59:55,08.12.2021 07:52:11,0,92585,58492,0,0,0,0,477053,Done ,104.91
497,The APP ART,,THEAPP-1277,Feature,Done,24.08.2021 14:16:35,Greatwall|Stromberg|,,08.09.2021 15:16:38,24.02.2022 03:37:13,0,93762,102144,68412,0,0,0,364987,Done ,183.55
498,The APP ART,,THEAPP-1276,Feature,Completed,24.08.2021 13:05:51,Griffin|Stromberg|,,15.09.2021 09:43:38,28.02.2022 10:57:03,0,68910,72018,129659,0,358788,0,0, ,187.91
499,The APP ART,,THEAPP-1275,Feature,Done,24.08.2021 08:55:27,Greatwall|,,12.04.2022 14:35:06,27.06.2022 15:10:18,0,442454,0,0,0,0,0,187174,Won't Do ,307.26
500,The APP ART,,THEAPP-1274,Feature,Done,24.08.2021 08:50:22,Greatwall|,,13.01.2022 12:44:07,24.05.2022 04:43:42,0,332984,59888,0,0,0,0,236761,Done ,272.83
501,The APP ART,,THEAPP-1273,Feature,Done,23.08.2021 22:08:21,Greatwall|,,12.04.2022 14:35:38,10.08.2022 15:48:54,0,445603,18843,42052,0,0,0,123776,Done ,351.73
505,The APP ART,,THEAPP-1268,Feature,Done,23.08.2021 21:35:57,App ART Funnel|,,04.02.2022 14:19:26,04.02.2022 14:19:26,0,237163,0,0,0,0,0,393145,Won't Do ,164.7
509,The APP ART,,THEAPP-1264,Feature,Done,23.08.2021 16:32:17,App ART Funnel|Greatwall|P&S|Release 2.0|Release 3.0|Release 3.1|Release 3.2|,,11.04.2022 15:06:54,06.07.2022 13:35:36,47538,332554,61898,11668,2642,0,0,174309,Won't Do ,283.86
510,The APP ART,,THEAPP-1263,Feature,Done,23.08.2021 16:26:04,Greatwall|,,08.09.2021 15:05:50,10.08.2022 15:49:01,0,63076,0,50388,393377,0,0,123776,Done ,351.97
511,The APP ART,,THEAPP-1262,Feature,Done,23.08.2021 15:56:03,Greatwall|,,20.10.2021 13:19:35,15.02.2022 11:45:49,37002,83363,0,0,132823,0,0,377459,Won't Do ,150.13
512,The APP ART,,THEAPP-1261,Feature,Done,23.08.2021 15:43:40,Greatwall|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Release 4.0|,,08.09.2021 15:09:38,13.06.2022 08:01:09,0,63119,0,0,359776,0,0,207764,Done ,293.68
513,The APP ART,,THEAPP-1260,Feature,Done,23.08.2021 11:42:12,,,04.02.2022 14:17:24,04.02.2022 14:17:24,0,237755,0,0,0,0,0,393147,Won't Do ,165.11
514,The APP ART,,THEAPP-1259,Feature,Done,23.08.2021 09:27:42,Greatwall|Mario|SPECTRE|,,16.03.2022 11:39:41,16.03.2022 11:39:41,0,295331,0,0,0,0,0,335705,Won't Do ,205.09
519,The APP ART,,THEAPP-1254,Feature,Done,12.08.2021 10:19:25,Lebowski|,,07.07.2022 09:22:54,25.07.2022 12:25:11,0,489786,5,10012,0,0,0,147020,Done ,347.09
520,The APP ART,,THEAPP-1253,Feature,Done,11.08.2021 12:28:21,App ART Funnel|CR|Lebowski|Mario|P&S|,,11.08.2021 12:33:39,12.04.2022 16:26:42,11365,78441,231122,30667,0,0,0,296538,Done ,236.27
521,The APP ART,,THEAPP-1252,Feature,Done,10.08.2021 13:52:19,App ART Funnel|Lebowski|P&S|Release 2.0|Release 3.0|Release 3.1|Release 4.0|,,10.08.2021 15:05:13,28.09.2021 17:43:36,0,72,0,70718,0,0,0,578701,Done ,49.16
522,The APP ART,,THEAPP-1251,Feature,Done,09.08.2021 13:39:43,App ART Funnel|P&S|Release 3.0|Release 3.1|Skywalker|Stromberg|,,09.08.2021 13:46:28,13.07.2022 11:24:31,0,34514,362761,89307,0,0,0,164360,Done ,337.9
523,The APP ART,,THEAPP-1250,Feature,Done,09.08.2021 13:26:56,App ART Funnel|P&S|Release 3.0|Release 3.1|Skywalker|,,09.08.2021 13:38:57,31.05.2022 12:09:57,0,34528,148314,241878,0,0,0,226235,Done ,294.94
524,The APP ART,,THEAPP-1248,Feature,Done,06.08.2021 16:38:42,Mario|,,26.01.2022 11:35:15,26.01.2022 11:35:15,0,248816,0,0,0,0,0,406270,Done ,172.79
525,The APP ART,,THEAPP-1247,Feature,Done,05.08.2021 16:04:37,App ART Funnel|P&S|Release 3.0|Release 3.1|Skywalker|,,25.08.2021 11:53:13,14.12.2021 13:21:32,0,40131,87854,60489,0,0,0,468083,Done ,130.88
526,The APP ART,,THEAPP-1246,Feature,Done,05.08.2021 11:59:51,App ART Funnel|VICI|,,20.04.2022 14:05:52,02.09.2022 14:17:20,0,371646,77983,116427,0,0,0,90747,Done ,393.09
527,The APP ART,,THEAPP-1245,Feature,Done,03.08.2021 12:11:05,Griffin|Skywalker|,,09.12.2021 08:17:27,15.07.2022 07:48:22,0,233060,70591,194324,0,0,0,161696,Done ,345.82
528,The APP ART,,THEAPP-1236,Feature,Done,30.07.2021 13:23:26,PCS|Pikachu|,,11.10.2021 10:18:15,23.09.2022 08:49:59,0,104934,382986,74814,0,41790,0,60835,Done ,390.79
529,The APP ART,,THEAPP-1231,Feature,Done,28.07.2021 13:15:56,Android|iOS|Mario|P&S|PCS|Pikachu|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Release 4.0|Stromberg|,,10.08.2021 08:30:32,30.11.2021 13:07:44,0,18434,0,161556,0,0,0,488257,Done ,124.99
531,The APP ART,,THEAPP-1224,Feature,Done,26.07.2021 17:24:57,App ART Funnel|Backend|Griffin|,,10.09.2021 09:43:11,18.10.2022 11:33:01,0,92193,171076,382937,0,0,0,24672,Done ,448.75
532,The APP ART,,THEAPP-1223,Feature,Done,26.07.2021 17:18:18,App ART Funnel|Backend|Release 3.0|Release 3.1|Release 3.2|Stark|,,18.01.2022 15:56:53,17.03.2022 16:48:04,0,303553,20110,13265,0,0,0,333957,Done ,233.98
533,The APP ART,,THEAPP-1222,Feature,Done,26.07.2021 16:47:12,App ART Funnel|Backend|Release 3.0|Release 3.1|Release 3.2|Stark|,,18.01.2022 15:56:59,17.03.2022 16:48:09,0,303448,133,33377,0,0,0,333957,Done ,234.0
537,The APP ART,,THEAPP-1218,Feature,Done,23.07.2021 12:21:41,Greatwall|,,08.09.2021 15:10:07,02.03.2022 05:05:15,0,319243,0,0,0,0,0,356260,Done ,221.7
538,The APP ART,,THEAPP-1217,Feature,Done,21.07.2021 16:52:53,Lebowski|P&S|Release 2.0|Release 3.0|Release 3.1|Release 4.0|,,21.07.2021 17:38:05,07.09.2021 13:17:08,0,45,28424,40433,0,0,0,609208,Done ,47.85
539,The APP ART,,THEAPP-1215,Feature,Done,20.07.2021 15:51:59,Android|App ART Funnel|iOS|PCS|Release 4.0|Stark|,,21.01.2022 15:01:14,21.01.2022 15:01:14,0,266349,0,0,0,0,0,413264,Won't Do ,184.96
540,The APP ART,,THEAPP-1214,Feature,Done,20.07.2021 15:27:41,App ART Funnel|Greatwall|VICI|,,05.08.2021 16:53:38,12.04.2022 11:11:44,0,23125,112006,158089,109635,0,0,276777,Done ,279.76
541,The APP ART,,THEAPP-1213,Feature,Done,20.07.2021 15:26:29,App ART Funnel|Greatwall|,,05.08.2021 16:53:14,01.12.2021 09:56:55,0,23126,97458,171274,20269,0,0,367506,Done ,216.75
542,The APP ART,,THEAPP-1212,Feature,Done,20.07.2021 15:17:58,App ART Funnel|Greatwall|,,05.08.2021 16:54:52,26.11.2021 12:40:51,0,23136,149333,13132,0,0,0,494044,Done ,128.89
543,The APP ART,,THEAPP-1211,Feature,Done,20.07.2021 15:14:33,App ART Funnel|Greatwall|Griffin|Lebowski|,,08.09.2021 15:15:17,10.03.2022 11:38:24,0,103408,90732,129610,11550,0,0,344346,Done ,232.85
544,The APP ART,,THEAPP-1210,Feature,Done,20.07.2021 14:59:00,App ART Funnel|Greatwall|,,05.08.2021 16:54:48,26.11.2021 13:16:50,0,30774,89837,32020,33023,0,0,494008,Done ,128.93
545,The APP ART,,THEAPP-1209,Feature,Done,20.07.2021 14:57:07,Greatwall|,,28.10.2021 16:51:20,02.12.2021 10:47:18,0,144114,27144,22891,0,0,0,485518,Done ,134.83
546,The APP ART,,THEAPP-1208,Feature,E2E Test,20.07.2021 14:52:11,App ART Funnel|Greatwall|,,05.08.2021 16:56:07,26.11.2021 13:17:07,0,23163,97460,487392,33019,0,0,38636, ,445.16
547,The APP ART,,THEAPP-1207,Feature,Done,20.07.2021 14:20:59,App ART Funnel|Greatwall|,,05.08.2021 16:55:20,15.12.2021 08:46:11,0,23194,97462,55927,36199,0,0,466919,Done ,147.77
548,The APP ART,,THEAPP-1203,Feature,Done,20.07.2021 10:14:49,Greatwall|Release 2.0|Release 3.0|Release 3.1|,,20.10.2021 13:19:46,20.04.2022 15:26:16,117812,132664,11569,0,132824,0,0,285079,Duplicate ,192.4
549,The APP ART,,THEAPP-1201,Feature,Done,20.07.2021 09:31:15,,,05.08.2022 11:30:56,05.08.2022 11:30:56,0,548759,0,0,0,0,0,131234,Duplicate ,381.08
550,The APP ART,,THEAPP-1200,Feature,Done,20.07.2021 08:57:25,Griffin|,,05.08.2022 11:36:25,05.08.2022 11:36:25,0,548799,0,0,0,0,0,131228,Duplicate ,381.11
551,The APP ART,,THEAPP-1198,Feature,Done,19.07.2021 15:40:10,App ART Funnel|Greatwall|,,30.08.2021 18:10:43,22.09.2022 08:35:27,0,60630,61390,164132,332621,0,0,62289,Done ,429.7
553,The APP ART,,THEAPP-1196,Feature,Done,19.07.2021 07:32:48,App ART Funnel|Greatwall|,,23.07.2021 12:37:27,11.02.2022 08:25:05,0,6064,55014,225568,11484,0,0,383420,Done ,207.03
555,The APP ART,,THEAPP-1193,Feature,Done,15.07.2021 08:35:42,App ART Funnel|Greatwall|,,05.08.2021 16:51:02,12.10.2021 09:23:59,0,30735,97472,0,0,0,0,559041,Done ,89.03
556,The APP ART,,THEAPP-1191,Feature,Done,13.07.2021 18:31:22,App ART Funnel|Backend|Griffin|Mario|P&S|,,15.07.2021 12:13:32,08.09.2021 11:37:21,0,11137,70528,0,0,0,0,607867,Won't Do ,56.71
559,The APP ART,,THEAPP-1187,Feature,Done,12.07.2021 13:26:54,,,05.08.2022 11:37:40,05.08.2022 11:37:40,0,560050,0,0,0,0,0,131227,Not Required ,388.92
560,The APP ART,,THEAPP-1186,Feature,Done,10.07.2021 23:23:16,,,22.09.2021 14:13:08,22.09.2021 14:13:08,0,106009,0,0,0,0,0,587552,Won't Do ,73.62
561,The APP ART,,THEAPP-1185,Feature,Done,24.06.2021 08:31:34,,,24.06.2021 08:32:11,24.06.2021 09:24:43,0,0,25403,0,0,20872,0,671216,Duplicate ,17.64
564,The APP ART,,THEAPP-1182,Feature,Done,08.07.2021 15:39:22,App ART Funnel|Lebowski|P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|,,26.08.2021 12:19:48,29.04.2022 14:18:41,0,70360,354358,0,0,0,0,272186,Duplicate ,294.94
566,The APP ART,,THEAPP-1180,Feature,Done,07.07.2021 10:21:57,App ART Funnel|Greatwall|,,05.08.2021 16:50:33,12.10.2021 10:46:15,0,42148,97475,79,0,0,0,558959,Done ,97.02
567,The APP ART,,THEAPP-1179,Feature,Done,07.07.2021 10:15:28,App ART Funnel|Greatwall|,,05.08.2021 16:50:13,26.11.2021 13:19:40,0,42154,36042,126467,0,0,0,494005,Done ,142.13
571,The APP ART,,THEAPP-1173,Feature,Done,02.07.2021 15:19:56,App ART Funnel|Greatwall|,,08.09.2021 15:12:46,08.02.2022 11:12:49,0,129325,99362,60334,28969,0,0,387572,Done ,220.83
572,The APP ART,,THEAPP-1172,Feature,Done,02.07.2021 15:18:14,App ART Funnel|Greatwall|,,08.09.2021 15:13:49,08.03.2022 11:11:53,0,129324,99371,129617,0,0,0,347253,Done ,248.83
573,The APP ART,,THEAPP-1171,Feature,Done,02.07.2021 15:11:06,App ART Funnel|Greatwall|Stromberg|,,24.08.2021 11:29:41,16.02.2022 04:52:59,0,168551,51504,109084,0,0,0,376432,Done ,228.57
574,The APP ART,,THEAPP-1170,Feature,Done,02.07.2021 14:30:19,App ART Funnel|Greatwall|Mario|,,15.07.2021 12:13:21,26.11.2021 13:23:23,0,49091,97485,65035,0,0,0,494001,Done ,146.95
575,The APP ART,,THEAPP-1169,Feature,Done,02.07.2021 11:35:22,CR|SPECTRE|VICI|,,07.10.2021 15:51:40,12.04.2022 14:14:09,0,139936,198169,50470,20541,0,0,296671,Done ,284.11
576,The APP ART,,THEAPP-1168,Feature,Done,01.07.2021 17:49:25,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,21.07.2021 13:50:37,05.08.2022 22:37:55,0,28561,237192,277512,33020,0,0,130567,Done ,400.2
577,The APP ART,,THEAPP-1167,Feature,Backlog,01.07.2021 17:44:19,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,21.07.2021 13:51:23,31.01.2022 13:25:57,0,28567,664035,0,0,0,0,14257,Done ,480.97
578,The APP ART,,THEAPP-1165,Feature,Done,01.07.2021 08:54:47,Android|App ART Funnel|iOS|P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Stromberg|,,28.09.2021 16:35:50,28.09.2021 16:35:50,0,128621,0,0,0,0,0,578769,Done ,89.32
580,The APP ART,,THEAPP-1162,Feature,Done,30.06.2021 16:28:36,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,21.07.2021 13:51:41,19.08.2021 11:03:23,0,30083,41591,0,0,0,0,636701,Done ,49.77
581,The APP ART,,THEAPP-1161,Feature,Done,30.06.2021 10:57:31,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,21.07.2021 13:52:42,12.05.2022 12:17:11,0,30415,194130,230572,0,0,0,253588,Done ,316.05
582,The APP ART,,THEAPP-1160,Feature,Done,30.06.2021 07:50:26,App ART Funnel|Greatwall|SPECTRE|,,30.06.2021 16:04:17,06.07.2022 15:27:05,0,72302,77555,242542,142292,0,0,174198,Done ,371.31
583,The APP ART,,THEAPP-1159,Feature,Done,29.06.2021 07:36:12,App ART Funnel|Greatwall|Griffin|Lebowski|,,23.07.2021 12:37:04,26.11.2021 12:37:19,0,34860,55014,126425,0,0,0,494048,Done ,150.21
584,The APP ART,,THEAPP-1158,Feature,Done,28.06.2021 15:26:43,Android|Backend|Greatwall|Griffin|iOS|Mario|VICI|,,04.08.2021 18:33:59,07.09.2021 15:08:49,0,102221,0,0,0,0,0,609096,Won't Do ,70.99
585,The APP ART,,THEAPP-1157,Feature,Done,24.06.2021 08:26:21,Android|App ART Funnel|iOS|P&S|Release 2.0|Release 3.0|Release 3.1|Release 3.2|,,24.06.2021 08:26:42,29.09.2021 14:45:34,0,0,140058,0,0,0,0,577439,Duplicate ,97.26
588,The APP ART,,THEAPP-1153,Feature,Done,09.06.2021 15:28:37,Android|Lebowski|,,20.04.2022 15:30:32,19.05.2022 09:05:10,21436,473538,0,0,0,0,0,243700,Won't Do ,328.85
589,The APP ART,,THEAPP-1148,Feature,Done,21.06.2021 17:33:52,App ART Funnel|P&S|Release 3.1|,,01.07.2021 16:09:58,01.07.2021 16:09:58,0,14316,0,0,0,0,0,706955,Not Required ,9.94
592,The APP ART,,THEAPP-1142,Feature,Done,16.06.2021 09:35:36,Android|App ART Funnel|Backend|iOS|Mario|P&S|Release 3.0|Release 3.1|Release 3.2|Release 4.0|,,25.05.2022 10:46:09,25.05.2022 10:46:09,0,493990,0,0,0,0,0,234959,Done ,343.05
593,The APP ART,,THEAPP-1140,Feature,Done,15.06.2021 11:30:12,Android|App ART Funnel|Backend|Griffin|iOS|Lebowski|P&S|VICI|,,23.06.2021 15:39:22,30.11.2021 13:08:31,0,30669,90380,120967,0,0,0,488256,Done ,168.07
595,The APP ART,,THEAPP-1136,Feature,Completed,09.06.2021 11:32:11,App ART Funnel|Griffin|P&S|Release 3.0|Release 3.1|Stromberg|,,21.07.2021 13:53:07,12.01.2022 17:18:23,0,69691,67198,102652,0,426086,0,73278,Done ,166.35
596,The APP ART,,THEAPP-1135,Feature,Done,08.06.2021 10:47:55,App ART Funnel|CR|Lebowski|P&S|VICI|,,23.09.2021 16:19:17,18.03.2022 15:33:24,0,191027,37921,178854,0,0,0,332591,Done ,283.2
597,The APP ART,,THEAPP-1134,Feature,Done,08.06.2021 10:42:59,CR|Griffin|P&S|Stark|,,08.06.2021 10:45:02,25.04.2022 11:12:52,130870,11785,256294,14552,48764,0,0,278132,Won't Do ,230.14
598,The APP ART,,THEAPP-1133,Feature,Done,08.06.2021 10:18:28,CR|,,08.06.2021 10:18:42,08.06.2021 17:23:56,0,425,0,0,0,0,0,740001,Duplicate ,0.3
601,The APP ART,,THEAPP-1126,Feature,Done,26.05.2021 18:14:48,Android|App ART Funnel|Backend|iOS|Release 3.1|Stark|,,04.08.2021 15:48:52,17.03.2022 16:47:44,0,100654,149431,154283,20342,0,0,333957,Done ,294.94
603,The APP ART,,THEAPP-1122,Feature,Done,20.05.2021 11:29:09,Greatwall|Griffin|P&S|,,30.06.2021 15:37:26,09.02.2022 12:57:49,0,190342,70408,120936,0,0,0,386027,Done ,265.06
604,The APP ART,,THEAPP-1121,Feature,Done,19.05.2021 22:57:50,App ART Funnel|P&S|Release 3.0|Release 3.1|Release 4.0|Stark|,,12.01.2022 16:41:24,12.01.2022 16:41:24,0,342343,0,0,0,0,0,426123,Duplicate ,237.74
605,The APP ART,,THEAPP-1119,Feature,Completed,19.05.2021 13:47:50,P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Stark|VICI|,,23.06.2021 15:46:56,14.12.2021 15:11:36,0,90622,103522,106897,0,467973,0,0, ,209.06
606,The APP ART,,THEAPP-1117,Feature,Done,18.05.2021 17:26:28,Android|Design|iOS|Stark|,,31.08.2021 10:44:25,31.08.2021 10:44:25,0,150797,0,0,0,0,0,619440,Duplicate ,104.72
607,The APP ART,,THEAPP-1116,Feature,Completed,18.05.2021 17:11:05,CR|Lebowski|P&S|Release 1.0|Skywalker|Stromberg|VICI|,,18.05.2021 17:14:57,02.02.2022 07:18:38,0,3,140559,233244,0,396446,0,0, ,259.59
609,The APP ART,,THEAPP-1114,Feature,Done,17.05.2021 15:05:55,P&S|Skywalker|,,17.05.2021 15:44:40,29.09.2021 14:15:00,0,64533,57496,65061,0,7256,0,577470,Done ,129.92
610,The APP ART,,THEAPP-1111,Feature,Done,11.05.2021 16:55:27,App ART Funnel|P&S|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Release 4.0|Skywalker|,,08.10.2021 16:49:23,18.07.2022 10:48:27,0,220304,378701,24146,0,0,0,157196,Done ,432.74
611,The APP ART,,THEAPP-1110,Feature,Done,11.05.2021 16:27:17,Greatwall|Griffin|P&S|,,18.05.2021 12:06:51,19.10.2021 13:05:09,0,9819,80725,141092,0,0,0,548740,Done ,160.86
613,The APP ART,,THEAPP-1101,Feature,Done,07.05.2021 15:57:07,Stark|,,30.06.2021 14:27:59,01.08.2022 12:31:06,0,77670,461978,109583,0,0,0,136934,Done ,450.85
621,The APP ART,,THEAPP-1077,Feature,Done,06.05.2021 14:22:36,Pikachu|Release 4.0|,,31.01.2022 13:24:45,31.01.2022 13:24:45,0,388742,0,0,0,0,0,398960,Duplicate ,269.96
626,The APP ART,,THEAPP-1072,Feature,Done,06.05.2021 14:14:52,Pikachu|Release 3.0|Release 3.1|Release 4.0|,,31.01.2022 13:26:51,31.01.2022 13:26:51,0,388751,0,0,0,0,0,398958,Done ,269.97
629,The APP ART,,THEAPP-1035,Feature,Done,05.05.2021 13:51:20,CR|Lebowski|P&S|,,30.06.2021 15:45:54,12.10.2021 18:59:35,0,92035,122266,16404,0,0,0,558465,Done ,160.21
631,The APP ART,,THEAPP-1033,Feature,Done,05.05.2021 09:23:14,Android|App ART Funnel|Backend|C3PO|iOS|PCS|,,19.05.2021 14:53:47,14.04.2022 09:55:58,434564,60827,0,0,0,0,0,294049,Won't Do ,42.24
632,The APP ART,,THEAPP-1032,Feature,Done,05.05.2021 08:49:12,App ART Funnel|CR|P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Release 4.0|,,05.05.2021 14:26:37,15.07.2021 14:12:49,0,337,79090,23135,0,0,0,686912,Done ,71.22
638,The APP ART,,THEAPP-914,Feature,Done,29.04.2021 15:56:39,Griffin|Mario|P&S|,,29.04.2021 16:02:08,12.10.2021 16:07:03,0,5,148159,90884,0,0,0,558638,Done ,166.01
639,The APP ART,,THEAPP-907,Feature,Done,29.04.2021 09:14:41,App ART Funnel|Greatwall|P&S|Release 3.0|Release 3.1|,,19.05.2021 15:16:47,25.03.2022 02:57:48,81874,89680,258857,44118,291,0,0,323267,Done ,272.88
640,The APP ART,,THEAPP-890,Feature,Done,28.04.2021 17:06:10,App ART Funnel|Backend|P&S|Release 3.1|Release 3.2|,,05.05.2021 15:38:50,29.09.2021 10:40:35,0,9992,77528,133853,0,0,0,577684,Done ,153.73
642,The APP ART,,THEAPP-853,Feature,Done,27.04.2021 11:33:59,App ART Funnel|Griffin|P&S|Release 3.0|Release 3.1|Skywalker|,,27.04.2021 11:35:34,24.08.2021 12:57:16,0,29032,71724,70685,0,0,0,629388,Done ,119.06
644,The APP ART,,THEAPP-784,Feature,Done,23.04.2021 17:03:21,,,10.05.2021 15:29:11,10.05.2021 15:29:11,0,24385,0,0,0,0,0,781876,Done ,16.93
645,The APP ART,,THEAPP-765,Feature,Completed,23.04.2021 10:57:45,App ART Funnel|P&S|Release 2.0|Stromberg|,,30.06.2021 16:12:53,14.12.2021 15:12:06,0,98235,119349,121068,0,467973,0,0, ,235.18
646,The APP ART,,THEAPP-764,Feature,Done,23.04.2021 10:56:21,CR|VICI|,,23.04.2021 10:57:16,27.07.2021 13:33:59,0,0,66869,70086,0,0,0,669671,Done ,95.11
647,The APP ART,,THEAPP-759,Feature,Done,22.04.2021 16:28:19,CR|Griffin|P&S|VICI|,,04.10.2021 09:55:16,04.10.2021 09:55:16,0,237206,0,0,0,0,0,570530,Duplicate ,164.73
648,The APP ART,,THEAPP-758,Feature,Done,22.04.2021 15:15:56,App ART Funnel|CR|Lebowski|P&S|VICI|,,23.04.2021 08:34:56,05.10.2021 13:16:00,0,1039,157131,141217,0,0,0,508419,Done ,207.91
650,The APP ART,,THEAPP-756,Feature,Done,22.04.2021 14:19:50,CR|P&S|,,22.04.2021 16:33:23,08.07.2021 16:55:37,0,1181,56245,42033,11572,0,0,696829,Done ,77.1
651,The APP ART,,THEAPP-755,Feature,Done,22.04.2021 13:43:28,App ART Funnel|CR|P&S|VICI|,,22.04.2021 14:27:36,24.08.2021 07:51:59,2,44,68096,110064,0,0,0,629693,Done ,123.75
652,The APP ART,,THEAPP-754,Feature,Done,22.04.2021 09:48:28,App ART Funnel|P&S|PCS|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 3.2|Release 4.0|,,07.05.2021 14:55:01,09.09.2021 10:17:37,0,21906,15615,164106,0,0,0,606507,Done ,140.02
653,The APP ART,,THEAPP-753,Feature,Completed,22.04.2021 08:51:19,App ART Funnel|Backend|Griffin|Lebowski|P&S|Release 3.0|Release 3.1|,,22.04.2021 11:46:37,14.12.2021 15:12:33,0,27290,206033,106896,0,467972,0,0, ,236.26
654,The APP ART,,THEAPP-748,Feature,Done,21.04.2021 12:07:26,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,23.06.2021 15:55:36,31.05.2022 11:13:06,0,131052,103536,348557,0,0,0,226292,Done ,404.96
655,The APP ART,,THEAPP-745,Feature,Done,20.04.2021 17:41:05,Lebowski|P&S|Release 2.0|Release 3.1|,,30.06.2021 16:14:07,19.07.2022 10:52:53,80759,143789,97638,230723,0,101879,0,155752,Done ,327.88
