,Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution ,CycleDays
253,The APP ART,,THEAPP-1631,Feature,Done,30.03.2022 17:37:54,Bullitt|,,16.08.2022 19:23:41,18.08.2022 21:28:28,0,200265,0,3004,0,0,0,111916,Done ,141.16
259,The APP ART,,THEAPP-1625,Feature,Done,30.03.2022 17:10:40,Bullitt|,,16.08.2022 19:26:21,19.09.2022 18:20:11,0,200295,0,48893,0,0,0,66025,Done ,173.05
260,The APP ART,,THEAPP-1624,Feature,In Implementation,30.03.2022 17:08:31,Bullitt|,,16.08.2022 19:26:00,19.09.2022 18:11:59,0,200297,48885,66031,0,0,0,0, ,218.9
261,The APP ART,,THEAPP-1623,Feature,Done,30.03.2022 17:04:58,Bullitt|,,16.08.2022 19:25:12,19.09.2022 18:20:16,0,200300,0,48894,0,0,0,66025,Done ,173.05
264,The APP ART,,THEAPP-1620,Feature,Done,30.03.2022 11:46:10,,,22.06.2022 10:07:37,22.06.2022 10:07:37,0,120861,0,0,0,0,0,194677,Duplicate ,83.93
266,The APP ART,,THEAPP-1618,Feature,Done,29.03.2022 17:40:12,Callahan|,,15.06.2022 11:20:44,12.08.2022 14:53:04,0,111940,83732,0,0,0,0,120952,Done ,135.88
267,The APP ART,,THEAPP-1617,Feature,Done,29.03.2022 17:39:46,Callahan|,,15.06.2022 11:20:17,12.08.2022 14:52:43,0,111940,83732,0,0,0,0,120952,Done ,135.88
268,The APP ART,,THEAPP-1616,Feature,Done,29.03.2022 17:39:24,Callahan|,,08.08.2022 14:41:36,08.08.2022 14:41:36,0,189902,0,0,0,0,0,126722,Done ,131.88
274,The APP ART,,THEAPP-1610,Feature,Done,29.03.2022 11:26:29,Lebowski|P&S|Release 3.1|,,14.04.2022 10:49:00,14.04.2022 10:49:00,0,23002,0,0,0,0,0,293996,Won't Do ,15.97
275,The APP ART,,THEAPP-1609,Feature,Done,29.03.2022 10:35:06,Lebowski|,,27.06.2022 09:05:08,27.06.2022 09:05:08,0,129510,0,0,0,0,0,187540,Done ,89.94
277,The APP ART,,THEAPP-1607,Feature,Done,28.03.2022 14:35:01,,,31.05.2022 18:55:29,31.05.2022 18:55:29,0,92420,0,0,0,0,0,225829,Duplicate ,64.18
280,The APP ART,,THEAPP-1604,Feature,Done,24.03.2022 19:30:36,BOND|Lebowski|Skywalker|,,30.03.2022 14:10:03,16.09.2022 16:16:17,0,18263,51776,122316,60887,0,0,70469,Done ,175.86
282,The APP ART,,THEAPP-1602,Feature,Backlog,21.03.2022 13:04:53,App ART Funnel|CR|VICI|,,30.03.2022 19:28:25,24.06.2022 13:51:10,4375,43142,269436,11428,0,0,0,37,Done ,225.0
289,The APP ART,,THEAPP-1594,Feature,Done,17.03.2022 09:44:55,Android|BOND|Greatwall|Mario|Pikachu|SPECTRE|Stark|Stromberg|VICI|,,08.06.2022 13:30:11,27.09.2022 16:22:58,0,199214,9926,70617,0,0,0,54622,Done ,194.28
293,The APP ART,,THEAPP-1590,Feature,Done,15.03.2022 18:10:08,Lebowski|,,17.08.2022 14:22:53,17.08.2022 14:22:53,0,222972,0,0,0,0,0,113782,Done ,154.84
297,The APP ART,,THEAPP-1584,Feature,Done,02.03.2022 14:44:23,Griffin|Stark|,,11.04.2022 15:13:21,20.04.2022 10:36:04,0,70310,0,0,0,0,0,285369,Won't Do ,48.83
298,The APP ART,,THEAPP-1583,Feature,Done,01.03.2022 16:11:21,Android|Greatwall|Lebowski|Mario|Pikachu|Skywalker|SPECTRE|Stark|Stromberg|VICI|,,23.06.2022 09:32:28,27.09.2022 16:30:42,0,230215,1573,70630,0,0,0,54614,Done ,210.01
303,The APP ART,,THEAPP-1577,Feature,Done,22.02.2022 16:08:20,App ART Funnel|Griffin|,,02.03.2022 12:43:23,05.09.2022 13:40:36,0,11315,109475,159861,0,0,0,86464,Done ,194.9
309,The APP ART,,THEAPP-1571,Feature,Done,17.02.2022 11:36:25,Android|App ART Funnel|C3PO|iOS|Pikachu|,,28.03.2022 16:58:53,28.03.2022 16:58:53,0,56482,0,0,0,0,0,318106,Done ,39.22
311,The APP ART,,THEAPP-1569,Feature,Done,16.02.2022 13:10:50,Greatwall|Mario|,,30.03.2022 11:53:35,07.07.2022 10:42:30,0,60402,18675,123812,0,0,0,173042,Duplicate ,140.9
312,The APP ART,,THEAPP-1556,Feature,Done,15.02.2022 17:45:49,Greatwall|,,22.02.2022 10:17:24,03.05.2022 13:03:04,0,9631,0,100964,0,0,0,266502,Done ,76.8
315,The APP ART,,THEAPP-1553,Feature,Done,11.02.2022 16:35:24,Lebowski|Mario|P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 4.0|,,15.02.2022 18:37:32,19.04.2022 11:26:24,0,5882,9634,80653,0,0,0,286758,Done ,66.78
320,The APP ART,,THEAPP-1548,Feature,Done,08.02.2022 16:05:25,Pikachu|,,10.03.2022 08:51:58,17.05.2022 13:02:57,0,90347,50589,0,0,0,0,246342,Done ,97.87
321,The APP ART,,THEAPP-1547,Feature,In Implementation,08.02.2022 13:41:11,Greatwall|Mario|,,06.04.2022 10:45:23,28.09.2022 10:01:40,0,81904,251955,21822,0,0,0,31741, ,247.0
322,The APP ART,,THEAPP-1546,Feature,Done,07.02.2022 09:10:54,App ART Funnel|Greatwall|,,20.06.2022 14:38:21,11.10.2022 08:43:17,0,191847,0,162364,0,0,0,34922,Done ,245.98
324,The APP ART,,THEAPP-1543,Feature,Done,03.02.2022 15:30:35,App ART Funnel|Pikachu|,,19.05.2022 10:04:46,19.05.2022 10:04:46,0,150874,0,0,0,0,0,243640,Won't Do ,104.77
325,The APP ART,,THEAPP-1542,Feature,Done,03.02.2022 13:11:27,VICI|,,21.02.2022 22:30:46,02.09.2022 14:17:42,0,109375,62180,132346,0,3,0,90747,Done ,211.04
326,The APP ART,,THEAPP-1541,Feature,Done,01.02.2022 11:49:54,SPECTRE|,,02.02.2022 13:53:18,05.05.2022 15:11:57,0,2709,67853,63559,0,0,0,263493,Done ,93.14
327,The APP ART,,THEAPP-1539,Feature,Done,28.01.2022 13:07:42,App ART Funnel|Greatwall|,,15.07.2022 13:51:37,27.09.2022 04:05:07,0,241963,0,105973,0,0,0,55360,Done ,241.62
333,The APP ART,,THEAPP-1533,Feature,Done,28.01.2022 12:30:36,App ART Funnel|Greatwall|,,12.04.2022 11:10:14,22.09.2022 08:26:10,0,106479,0,234555,0,0,0,62299,Done ,236.83
335,The APP ART,,THEAPP-1531,Feature,Done,27.01.2022 14:36:22,Greatwall|Release 2.0|Release 3.0|Release 3.1|,,22.02.2022 10:18:17,23.05.2022 05:01:17,0,37181,70612,58670,0,0,0,238184,Done ,115.6
