Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Res,Closed Date,Funnel,In Analysis,Backlog,In Implementation,Blocker,Completed,Monitoring,Done,Resolution
The APP ART,,THEAPP-585,Feature,Done,23.03.2021 11:32,App ART Funnel|P&S|Release 3.0|Release 3.1|,,05.05.2021 14:39,Duplicate ,05.05.2021 14:39,0,62107,0,0,0,0,0,789125,Duplicate 
The APP ART,,THEAPP-584,Feature,Completed,23.03.2021 11:27,App ART Funnel|P&S|Release 3.0|Release 3.1|Stromberg|,,07.04.2021 14:12,Done ,21.12.2021 11:46,0,41963,119443,231408,0,458098,0,321,Done 
The APP ART,,THEAPP-583,Feature,Completed,23.03.2021 11:14,App ART Funnel|P&S|Release 3.0|Release 3.1|,,07.04.2021 14:12,Done ,21.12.2021 11:46,0,41977,70719,280124,0,458098,0,329,Done 
The APP ART,,THEAPP-574,Feature,Funnel,15.03.2021 10:39,App ART Funnel|Backend|P&S|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 4.0|,,,,,862806,0,0,0,0,0,0, ,
The APP ART,,THEAPP-572,Feature,Done,12.03.2021 10:29,App ART Funnel|Backend|CR|Griffin|P&S|,,21.04.2021 16:19,Done ,24.08.2021 13:13,0,57949,99170,80643,0,0,0,629372,Done 
The APP ART,,THEAPP-552,Feature,Backlog,08.03.2021 16:03,2022|Android|App ART Funnel|BOND|CR|Design|iOS|P&S|Stark|,,17.11.2021 12:06, ,,0,366884,505677,0,0,0,0,0, 
The APP ART,,THEAPP-551,Feature,Funnel,04.03.2021 15:31,Griffin|VICI|,,,,,878353,0,0,0,0,0,0, ,
The APP ART,,THEAPP-540,Feature,Done,01.03.2021 19:15,App ART Funnel|P&S|Release 3.0|Release 3.1|,,01.03.2021 19:16,Done ,24.08.2021 12:57,0,1,123250,129809,0,0,0,629387,Done 
The APP ART,,THEAPP-539,Feature,Done,01.03.2021 11:05,App ART Funnel|Mario|P&S|PCS|Release 1.0|Release 2.0|Release 3.0|Release 3.1|Release 4.0|Stromberg|,,25.01.2022 11:56,Won't Do ,25.01.2022 11:56,0,475251,0,0,0,0,0,407687,Won't Do 
The APP ART,,THEAPP-538,Feature,In Implementation,26.02.2021 14:03,App ART Funnel|Griffin|Pikachu|Release 4.0|,,16.03.2021 12:26, ,,0,591637,73366,87816,134260,0,0,0, 
The APP ART,,THEAPP-535,Feature,Done,22.02.2021 15:37,App ART Funnel|CR|P&S|,,22.02.2021 15:38,Won't Fix ,30.06.2021 10:42,0,40314,143709,0,0,0,0,708723,Won't Fix 
The APP ART,,THEAPP-519,Feature,Backlog,11.02.2021 08:55,Griffin|P&S|Release 2.0|Release 3.0|Release 3.1|Release 4.0|,,12.08.2021 15:24, ,,0,350268,558721,0,0,0,0,0, 
The APP ART,,THEAPP-518,Feature,Completed,08.02.2021 17:51,App ART Funnel|P&S|Release 2.0|Stromberg|,,05.05.2021 14:34, ,12.08.2021 15:12,0,123643,99301,43295,0,646532,0,0, 
The APP ART,,THEAPP-517,Feature,Done,05.02.2021 13:56,App ART Funnel|P&S|Release 3.0|Release 3.1|,,05.02.2021 14:07,Done ,24.08.2021 12:57,20120,87454,79493,100870,0,0,0,629387,Done 
The APP ART,,THEAPP-516,Feature,Done,05.02.2021 13:34,App ART Funnel|P&S|Release 3.0|Release 3.1|,,05.02.2021 14:07,Done ,24.08.2021 12:57,20119,48794,89237,129809,0,0,0,629387,Done 
